timestamp,tcp_retrans_15s
2025-09-19 23:01:13,0.0
2025-09-19 23:01:28,0.0
2025-09-19 23:01:43,0.0
2025-09-19 23:01:58,0.0
2025-09-19 23:02:13,0.0
2025-09-19 23:02:28,0.0
2025-09-19 23:02:43,0.0
2025-09-19 23:02:58,0.0
2025-09-19 23:03:13,0.0
2025-09-19 23:03:28,0.0
2025-09-19 23:03:43,0.0
2025-09-19 23:03:58,0.0
2025-09-19 23:04:13,0.0
2025-09-19 23:04:28,0.0
2025-09-19 23:04:43,0.0
2025-09-19 23:04:58,0.0
2025-09-19 23:05:13,0.0
2025-09-19 23:05:28,0.0
2025-09-19 23:05:43,0.0
2025-09-19 23:05:58,0.0
2025-09-19 23:06:13,0.0
2025-09-19 23:06:28,0.0
2025-09-19 23:06:43,0.0
2025-09-19 23:06:58,0.0
2025-09-19 23:07:13,0.0
2025-09-19 23:07:28,0.0
2025-09-19 23:07:43,0.0
2025-09-19 23:07:58,0.0
2025-09-19 23:08:13,0.0
2025-09-19 23:08:28,0.0
2025-09-19 23:08:43,0.0
2025-09-19 23:08:58,0.0
2025-09-19 23:09:13,0.0
2025-09-19 23:09:28,0.0
2025-09-19 23:09:43,0.0
2025-09-19 23:09:58,0.0
2025-09-19 23:10:13,0.0
2025-09-19 23:10:28,0.0
2025-09-19 23:10:43,0.0
2025-09-19 23:10:58,1.5
2025-09-19 23:11:13,0.0
2025-09-19 23:11:28,0.0
2025-09-19 23:11:43,0.0
2025-09-19 23:11:58,0.0
2025-09-19 23:12:13,0.0
2025-09-19 23:12:28,0.0
2025-09-19 23:12:43,0.0
2025-09-19 23:12:58,0.0
2025-09-19 23:13:13,0.0
2025-09-19 23:13:28,0.0
2025-09-19 23:13:43,0.0
2025-09-19 23:13:58,0.0
2025-09-19 23:14:13,0.0
2025-09-19 23:14:28,0.0
2025-09-19 23:14:43,0.0
2025-09-19 23:14:58,0.0
2025-09-19 23:15:13,0.0
2025-09-19 23:15:28,0.0
2025-09-19 23:15:43,0.0
2025-09-19 23:15:58,1.4998500149985
2025-09-19 23:16:13,0.0
2025-09-19 23:16:28,0.0
2025-09-19 23:16:43,0.0
2025-09-19 23:16:58,0.0
2025-09-19 23:17:13,0.0
2025-09-19 23:17:28,0.0
2025-09-19 23:17:43,0.0
2025-09-19 23:17:58,0.0
2025-09-19 23:18:13,0.0
2025-09-19 23:18:28,0.0
2025-09-19 23:18:43,0.0
2025-09-19 23:18:58,0.0
2025-09-19 23:19:13,0.0
2025-09-19 23:19:28,0.0
2025-09-19 23:19:43,0.0
2025-09-19 23:19:58,0.0
2025-09-19 23:20:13,0.0
2025-09-19 23:20:28,0.0
2025-09-19 23:20:43,0.0
2025-09-19 23:20:58,1.4998500149985
2025-09-19 23:21:13,0.0
2025-09-19 23:21:28,0.0
2025-09-19 23:21:43,0.0
2025-09-19 23:21:58,0.0
2025-09-19 23:22:13,0.0
2025-09-19 23:22:28,0.0
2025-09-19 23:22:43,0.0
2025-09-19 23:22:58,0.0
2025-09-19 23:23:13,0.0
2025-09-19 23:23:28,0.0
2025-09-19 23:23:43,0.0
2025-09-19 23:23:58,0.0
2025-09-19 23:24:13,0.0
2025-09-19 23:24:28,0.0
2025-09-19 23:24:43,0.0
2025-09-19 23:24:58,0.0
2025-09-19 23:25:13,0.0
2025-09-19 23:25:28,0.0
2025-09-19 23:25:43,0.0
2025-09-19 23:25:58,4.5
2025-09-19 23:26:13,0.0
2025-09-19 23:26:28,0.0
2025-09-19 23:26:43,0.0
2025-09-19 23:26:58,0.0
2025-09-19 23:27:13,0.0
2025-09-19 23:27:28,0.0
2025-09-19 23:27:43,0.0
2025-09-19 23:27:58,0.0
2025-09-19 23:28:13,0.0
2025-09-19 23:28:28,0.0
2025-09-19 23:28:43,0.0
2025-09-19 23:28:58,0.0
2025-09-19 23:29:13,0.0
2025-09-19 23:29:28,0.0
2025-09-19 23:29:43,0.0
2025-09-19 23:29:58,0.0
2025-09-19 23:30:13,0.0
2025-09-19 23:30:28,0.0
2025-09-19 23:30:43,0.0
2025-09-19 23:30:58,0.0
2025-09-19 23:31:13,0.0
2025-09-19 23:31:28,1.5001500150015
2025-09-19 23:31:43,7.500750075007501
2025-09-19 23:31:58,1.5003000600120022
2025-09-19 23:32:13,0.0
2025-09-19 23:32:28,0.0
2025-09-19 23:32:43,0.0
2025-09-19 23:32:58,0.0
2025-09-19 23:33:13,0.0
2025-09-19 23:33:28,0.0
2025-09-19 23:33:43,0.0
2025-09-19 23:33:58,0.0
2025-09-19 23:34:13,0.0
2025-09-19 23:34:28,0.0
2025-09-19 23:34:43,0.0
2025-09-19 23:34:58,1.48720999405116
2025-09-19 23:35:13,0.0
2025-09-19 23:35:28,0.0
2025-09-19 23:35:43,0.0
2025-09-19 23:35:58,0.0
2025-09-19 23:36:13,0.0
2025-09-19 23:36:28,0.0
2025-09-19 23:36:43,0.0
2025-09-19 23:36:58,0.0
2025-09-19 23:37:13,0.0
2025-09-19 23:37:28,0.0
2025-09-19 23:37:43,0.0
2025-09-19 23:37:58,0.0
2025-09-19 23:38:13,0.0
2025-09-19 23:38:28,0.0
2025-09-19 23:38:43,0.0
2025-09-19 23:38:58,0.0
2025-09-19 23:39:13,0.0
2025-09-19 23:39:28,0.0
2025-09-19 23:39:43,0.0
2025-09-19 23:39:58,0.0
2025-09-19 23:40:13,0.0
2025-09-19 23:40:28,0.0
2025-09-19 23:40:43,0.0
2025-09-19 23:40:58,4.4995500449955
2025-09-19 23:41:13,1.5
2025-09-19 23:41:28,0.0
2025-09-19 23:41:43,0.0
2025-09-19 23:41:58,0.0
2025-09-19 23:42:13,0.0
2025-09-19 23:42:28,0.0
2025-09-19 23:42:43,0.0
2025-09-19 23:42:58,0.0
2025-09-19 23:43:13,0.0
2025-09-19 23:43:28,0.0
2025-09-19 23:43:43,0.0
2025-09-19 23:43:58,0.0
2025-09-19 23:44:13,0.0
2025-09-19 23:44:28,0.0
2025-09-19 23:44:43,0.0
2025-09-19 23:44:58,0.0
2025-09-19 23:45:13,0.0
2025-09-19 23:45:28,0.0
2025-09-19 23:45:43,0.0
2025-09-19 23:45:58,0.0
2025-09-19 23:46:13,0.0
2025-09-19 23:46:28,0.0
2025-09-19 23:46:43,0.0
2025-09-19 23:46:58,0.0
2025-09-19 23:47:13,0.0
2025-09-19 23:47:28,0.0
2025-09-19 23:47:43,0.0
2025-09-19 23:47:58,0.0
2025-09-19 23:48:13,0.0
2025-09-19 23:48:43,0.0
2025-09-19 23:48:58,0.0
2025-09-19 23:49:13,0.0
2025-09-19 23:49:28,0.0
2025-09-19 23:49:43,0.0
2025-09-19 23:49:58,0.0
2025-09-19 23:50:13,0.0
2025-09-19 23:50:28,0.0
2025-09-19 23:50:43,0.0
2025-09-19 23:50:58,0.0
2025-09-19 23:51:13,0.0
2025-09-19 23:51:28,0.0
2025-09-19 23:51:43,0.0
2025-09-19 23:51:58,0.0
2025-09-19 23:52:28,0.0
2025-09-19 23:52:43,0.0
2025-09-19 23:52:58,0.0
2025-09-19 23:53:13,0.0
2025-09-19 23:53:28,0.0
2025-09-19 23:53:43,0.0
2025-09-19 23:53:58,0.0
