JobID|JobName|NodeList|Submit|Start|End|State|ExitCode|Elapsed
231|bg_ep|wizhua-virtual-machine|2025-09-19T18:35:29|2025-09-19T18:35:30|2025-09-19T18:35:41|COMPLETED|0:0|00:00:11
231.batch|batch|wizhua-virtual-machine|2025-09-19T18:35:30|2025-09-19T18:35:30|2025-09-19T18:35:41|COMPLETED|0:0|00:00:11
