experiment_id,fault_type,create_time,end_time
e03b713b98dbe1e2,cpu-fullload,2025-09-19 15:41:52,2025-09-19 15:42:52
7aa02acb068dcf95,mem-load,2025-09-19 15:43:22,2025-09-19 15:44:22
60647e2caaebee76,mem-load,2025-09-19 15:44:22,2025-09-19 15:45:22
66e429b708193420,mem-load,2025-09-19 15:45:22,2025-09-19 15:46:22
61d8b84958c1b138,network-loss,2025-09-19 15:46:22,2025-09-19 15:47:22
0f538cf077f01b0a,disk-burn,2025-09-19 15:47:22,2025-09-19 15:48:24
2d41368e1829c2b2,disk-fill,2025-09-19 15:48:22,2025-09-19 15:49:24
