JobID|JobName|NodeList|Submit|Start|End|State|ExitCode|Elapsed
180|bg_ep|wizhua-virtual-machine|2025-09-19T12:53:58|2025-09-19T12:53:59|2025-09-19T12:54:08|FAILED|0:15|00:00:09
180.batch|batch|wizhua-virtual-machine|2025-09-19T12:53:59|2025-09-19T12:53:59|2025-09-19T12:54:08|CANCELLED|0:15|00:00:09
181|bg_ep|wizhua-virtual-machine|2025-09-19T12:53:58|2025-09-19T12:54:09|2025-09-19T12:54:26|COMPLETED|0:0|00:00:17
181.batch|batch|wizhua-virtual-machine|2025-09-19T12:54:09|2025-09-19T12:54:09|2025-09-19T12:54:26|COMPLETED|0:0|00:00:17
182|bg_ep|wizhua-virtual-machine|2025-09-19T12:53:58|2025-09-19T12:54:27|2025-09-19T12:54:44|COMPLETED|0:0|00:00:17
182.batch|batch|wizhua-virtual-machine|2025-09-19T12:54:27|2025-09-19T12:54:27|2025-09-19T12:54:44|COMPLETED|0:0|00:00:17
