timestamp,cpu_idle_seconds,cpu_user_seconds,cpu_system_seconds,cpu_iowait_seconds,cpu_irq_seconds,cpu_softirq_seconds,cpu_nice_seconds,cpu_steal_seconds,cpu_usage_percent,cpu_user_percent,cpu_system_percent,cpu_iowait_percent,context_switches_rate,interrupts_rate,process_forks_rate,load_1min,load_5min,load_15min,processes_running,processes_blocked,memory_total_bytes,memory_free_bytes,memory_available_bytes,memory_cached_bytes,memory_buffers_bytes,memory_active_anon_bytes,memory_active_file_bytes,memory_inactive_anon_bytes,memory_inactive_file_bytes,memory_shmem_bytes,memory_kreclaimable_bytes,memory_sunreclaim_bytes,memory_page_tables_bytes,memory_kernel_stack_bytes,memory_mapped_bytes,memory_committed_as_bytes,memory_dirty_bytes,memory_writeback_bytes,memory_usage_percent,cache_usage_percent,buffer_usage_percent,anon_memory_percent,swap_total_bytes,swap_free_bytes,swap_cached_bytes,swap_usage_percent,page_faults_rate,page_major_faults_rate,page_swap_in_rate,page_swap_out_rate,vm_oom_kills_total,disk_read_bytes_total,disk_written_bytes_total,disk_reads_completed_total,disk_writes_completed_total,disk_read_time_seconds_total,disk_write_time_seconds_total,disk_io_time_seconds_total,disk_io_weighted_time_seconds_total,disk_io_now,disk_reads_merged_total,disk_writes_merged_total,disk_io_usage_percent,disk_read_rate_bytes_per_sec,disk_write_rate_bytes_per_sec,disk_read_iops,disk_write_iops,disk_total_iops,filesystem_size_bytes,filesystem_avail_bytes,filesystem_free_bytes,filesystem_readonly,filesystem_usage_percent,filesystem_files_total,filesystem_files_free,filesystem_inode_usage_percent,filefd_allocated,filefd_maximum,filefd_usage_percent,network_receive_bytes_total,network_transmit_bytes_total,network_receive_packets_total,network_transmit_packets_total,network_receive_errs_total,network_transmit_errs_total,network_receive_drop_total,network_transmit_drop_total,network_receive_fifo_total,network_transmit_fifo_total,network_receive_frame_total,network_transmit_carrier_total,network_transmit_colls_total,network_up,network_mtu_bytes,network_speed_bytes,network_receive_rate_bytes_per_sec,network_transmit_rate_bytes_per_sec,network_receive_packets_rate,network_transmit_packets_rate,network_receive_errors_rate,network_transmit_errors_rate,network_receive_drop_rate,network_transmit_drop_rate,tcp_current_connections,tcp_active_opens_rate,tcp_passive_opens_rate,tcp_timeouts_rate,tcp_retransmissions_rate,tcp_syn_retrans_rate,tcp_listen_overflows_rate,tcp_listen_drops_rate,tcp_resets_sent_rate,tcp_segments_received_rate,tcp_segments_sent_rate,tcp_receive_errors_rate,udp_receive_datagrams_rate,udp_transmit_datagrams_rate,udp_receive_errors_rate,udp_no_ports_rate,icmp_receive_msgs_rate,icmp_transmit_msgs_rate,icmp_receive_errors_rate,sockets_used,tcp_mem_bytes,udp_mem_bytes,systemd_units_active,systemd_units_inactive,systemd_units_failed,systemd_system_running,system_time_seconds,system_boot_time_seconds,system_uptime_seconds,time_sync_status,time_offset_seconds,time_max_error_seconds,time_estimated_error_seconds,time_frequency_adjustment_ratio,time_loop_time_constant,time_status,time_zone_offset_seconds,entropy_available_bits,entropy_pool_size_bits,entropy_usage_percent,softnet_processed_total,softnet_dropped_total,softnet_times_squeezed_total,softnet_processed_rate,softnet_dropped_rate,softnet_squeezed_rate,arp_entries,cpu_pressure_waiting_rate,memory_pressure_waiting_rate,memory_pressure_stalled_rate,io_pressure_waiting_rate,io_pressure_stalled_rate,schedstat_running_rate,schedstat_waiting_rate,node_netstat_Tcp_RetransSegs,node_netstat_TcpExt_TCPSynRetrans,node_netstat_TcpExt_TCPTimeouts,node_netstat_Tcp_ActiveOpens,node_netstat_Tcp_PassiveOpens,node_netstat_Tcp_CurrEstab,node_netstat_Tcp_InErrs,node_netstat_Tcp_OutRsts,node_netstat_TcpExt_ListenDrops,node_netstat_TcpExt_ListenOverflows,node_netstat_TcpExt_SyncookiesSent,node_netstat_TcpExt_SyncookiesRecv,node_netstat_TcpExt_SyncookiesFailed
2025-09-22 23:17:55,208328.26,6611.05,1621.54,2011.81,0.0,366.99,22.5,0.0,76.04729176893807,47.93496245386297,14.193439880725114,6.934216985763375,2516.2093856251936,7082.474226804125,1.400025455008273,6.92,3.2,1.29,12.0,1.0,8278052864.0,226676736.0,5323063296.0,5083848704.0,28413952.0,1638035456.0,204075008.0,330620928.0,4898123776.0,10104832.0,306765824.0,270630912.0,33148928.0,16596992.0,171941888.0,7582081024.0,138477568.0,20975616.0,35.6966742849735,61.41358103798648,0.3432443893124671,23.781635806668845,2147479552.0,981172224.0,95166464.0,54.31052076439049,13441.426207749231,39.72799505445553,145639.92072583138,210064.8375425008,3.0,972258513920.0,544523219968.0,11230296.0,13850194.0,44938.809,106060.995,6246.529,150999.804,13.0,9741488.0,6355154.0,54.28098692703552,149136582.1196749,214873587.66523027,261.67748504518266,527.4277714140258,789.1052564592085,83826114560.0,4928991232.0,8569028608.0,0.0,94.11998127567752,5210112.0,4491355.0,13.795423207792846,10944.0,9.223372036854776e+18,1.186550857568136e-13,340503722.0,262812878.0,806666.0,679457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,125000000.0,6.545573555882835,0.0,0.1090928925980472,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0000727285950655,4.0000727285950655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963.0,479232.0,3145728.0,335.0,131.0,0.0,1.0,1758554271.775967,1758334172.0,220099.7759668827,1.0,-0.00736032,0.2645,0.0,0.999999844329834,7.0,8193.0,28800.0,256.0,256.0,0.0,174007.0,0.0,43.0,0.6545573555882834,0.0,0.0,3.0,0.0440224731358755,0.0545372824960437,0.0328105965563001,0.1246540846197188,0.083871652211868,0.5321675642829897,0.0727795560646556,0,0,0,0.0,0.0,15,0,0.0,0,0,0,0,0
2025-09-22 23:18:10,208342.6,6611.17,1621.99,2011.81,0.0,367.01,22.5,0.0,68.64375193178279,49.15592443773728,8.888474755004431,7.3362302503591295,1933.5648442755587,6079.398556389884,1.036344793731023,6.65,3.32,1.36,14.0,1.0,8278052864.0,179617792.0,5324640256.0,5129187328.0,28475392.0,1638395904.0,204247040.0,330571776.0,4943351808.0,10104832.0,310001664.0,270630912.0,33148928.0,16596992.0,172015616.0,7582060544.0,142761984.0,25165824.0,35.67762439454748,61.96127775779326,0.3439865928355589,23.78539630451918,2147479552.0,981434368.0,95162368.0,54.29831370985738,4218.959655278994,18.19966909692551,45555.71716877875,181914.2924674097,3.0,972258972672.0,545354904576.0,11230386.0,13850970.0,44939.854,106285.528,6259.396,151225.383,12.0,9741488.0,6355223.0,60.638897474591126,48443106.99805458,186307343.0664897,97.63458846202796,217.54149924546823,315.1760877074962,83826114560.0,4090097664.0,7730135040.0,0.0,95.12073572123822,5210112.0,4491355.0,13.795423207792846,10944.0,9.223372036854776e+18,1.186550857568136e-13,340503722.0,262812878.0,806666.0,679457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,125000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9999272740495626,3.9999272740495626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963.0,479232.0,3145728.0,335.0,131.0,0.0,1.0,1758554286.7877166,1758334172.0,220114.78771662712,1.0,-0.007147609,0.272,0.0,0.999999844329834,7.0,8193.0,28800.0,256.0,256.0,0.0,174027.0,0.0,43.0,0.9090743804658096,0.0,0.0,3.0,0.0188314394283783,0.014663533390302,0.0081094525554072,0.1144496463700558,0.100181505790806,0.328460921219611,0.0420159257104429,0,0,0,0.0,0.0,15,0,0.0,0,0,0,0,0
2025-09-22 23:18:25,208350.4,6611.38,1622.46,2017.22,0.0,367.04,22.5,0.0,69.46934433978386,49.48589039601441,4.977453725590043,12.55045638023212,1577.039165060548,5427.306447507183,0.1272773555402014,7.31,3.63,1.5,12.0,1.0,8278052864.0,231890944.0,5335846912.0,5087428608.0,28778496.0,1637220352.0,216559616.0,330506240.0,4889550848.0,10096640.0,310423552.0,270585856.0,32813056.0,16367616.0,174735360.0,7555145728.0,42483712.0,18849792.0,35.54224647193556,61.45682676326528,0.3476481302161445,23.770403793352727,2147479552.0,985104384.0,95227904.0,54.127414946393856,134.93217935197646,20.437106803883783,317.4115422378996,112346.92170624388,3.0,972273779712.0,545875661824.0,11231403.0,13851464.0,44967.943,106531.988,6272.988,151499.932,16.0,9741543.0,6355318.0,74.00269100694537,304902.4328157388,114856240.0087276,23.78268300665479,130.0956398414488,153.87832284810358,83826114560.0,3670630400.0,7310667776.0,0.0,95.6211373755458,5210112.0,4491355.0,13.795423207792846,10944.0,9.223372036854776e+18,1.186550857568136e-13,340503722.0,262812878.0,806666.0,679457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,125000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0181824793628859,0.0181824793628859,0.0,0.0,0.0,0.0,0.0,0.0,4.3819775264555085,4.3819775264555085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962.0,479232.0,3145728.0,334.0,131.0,0.0,1.0,1758554301.7743192,1758334172.0,220129.7743191719,1.0,-0.006941045,0.2795,0.0,0.999999844329834,7.0,8193.0,28800.0,256.0,256.0,0.0,174036.0,0.0,43.0,1.0727662824102695,0.0,0.0,3.0,0.0076645150732786,0.0176343685224885,0.0153511036764978,0.1607529546528924,0.1523450670933497,0.1238106258773039,0.0334910322193528,0,0,0,0.0,0.0,15,0,0.0,0,0,0,0,0
2025-09-22 23:18:40,208359.26,6615.18,1623.11,2018.12,0.0,367.09,22.5,0.0,72.62777040418055,50.33544844639157,2.788585662078764,16.586062071598757,1657.078962200687,5234.977545862802,1.0181633061217068,7.7,3.9,1.62,14.0,0.0,8278052864.0,209760256.0,5314650112.0,5087608832.0,29241344.0,1641304064.0,202047488.0,330657792.0,4904706048.0,10092544.0,310714368.0,270512128.0,33153024.0,16531456.0,181723136.0,7583895552.0,136675328.0,2084864.0,35.79830668740218,61.459003893599686,0.3532393967567685,23.82156635621118,2147479552.0,987201536.0,95522816.0,54.029758510128985,448.337302958128,28.12676133161215,385.7566226068617,44035.78116761513,3.0,972278596608.0,546432852992.0,11231994.0,13852815.0,44979.863,106731.31,6285.986,151711.173,1.0,9741662.0,6355566.0,87.03659933455774,374888.89292921947,45274275.59498918,32.12668860566171,60.36253886292977,92.48922746859148,83826114560.0,3041443840.0,6681481216.0,0.0,96.3717227549381,5210112.0,4491355.0,13.795423207792846,10944.0,9.223372036854776e+18,1.186550857568136e-13,340503722.0,262812878.0,806666.0,679457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,125000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0181814876093161,0.0181814876093161,0.0,0.0,0.0,0.0,0.0,0.0,4.381738513845203,4.381738513845203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962.0,479232.0,3145728.0,334.0,131.0,0.0,1.0,1758554316.8415432,1758334172.0,220144.84154319763,1.0,-0.006740451,0.287,0.0,0.999999844329834,7.0,8193.0,28800.0,256.0,256.0,0.0,174046.0,0.0,43.0,1.0727077689496554,0.0,0.0,3.0,0.0118995290994692,0.0220944164651541,0.0183354484463917,0.205274522281415,0.1916955328084885,0.1442441705059915,0.0442638877474954,0,0,0,0.0,0.0,15,0,0.0,0,0,0,0,0
2025-09-22 23:18:55,208361.39,6624.25,1623.3,2021.33,0.0,367.1,22.5,0.0,74.99409434510248,45.82106774240422,2.836985753743176,22.48691670300916,1680.1679023113825,4903.129088530309,1.0902747492368077,8.2,4.2,1.75,11.0,3.0,8278052864.0,1126019072.0,6450204672.0,5300711424.0,29548544.0,542924800.0,213037056.0,309055488.0,5107412992.0,9777152.0,316313600.0,271028224.0,30261248.0,16302080.0,176242688.0,6227849216.0,55300096.0,20770816.0,22.080653772447324,64.03331207332576,0.3569504143722269,10.292037294242627,2147479552.0,989822976.0,95539200.0,53.9076879647979,500.4542811455154,39.37708969326937,634.77613025149,34436.109899694726,3.0,972293145600.0,546719962112.0,11232827.0,13853389.0,45025.941,106838.284,6292.853,151864.225,7.0,9741706.0,6355641.0,76.24836458787657,627216.7466201483,35596318.06948684,45.48262828899549,53.8595726122983,99.3422009012938,83826114560.0,2840186880.0,6480224256.0,0.0,96.61181137297363,5210112.0,4491371.0,13.79511611266706,10368.0,9.223372036854776e+18,1.124100812432971e-13,340504262.0,262812878.0,806675.0,679457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,125000000.0,9.81247274313127,0.0,0.1635412123855211,0.0,0.0,0.0,0.0,0.0,7.0,0.1635412123855211,0.0181712458206134,0.0,0.0,0.0,0.0,0.0,0.199883704026748,5.106120075592383,5.106120075592383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,943.0,479232.0,3145728.0,334.0,131.0,0.0,1.0,1758554331.8406656,1758334172.0,220159.84066557884,1.0,-0.006545654,0.2945,0.0,0.999999844329834,7.0,8193.0,28800.0,256.0,256.0,0.0,174058.0,0.0,43.0,0.7450210786451519,0.0,0.0,3.0,0.0160600377961917,0.0568143625526972,0.0515219326937063,0.2778441815670873,0.2598882286669582,0.3097893360589949,0.0429668254106697,0,0,0,17.11341853035144,0.0,7,0,17.11341853035144,0,0,0,0,0
2025-09-22 23:19:10,208361.95,6634.3,1624.11,2023.44,0.0,367.13,22.5,0.0,82.59545454545085,51.10681818181816,3.249999999999938,21.588636363636365,1779.4,5362.854545454545,1.2545454545454544,8.37,4.43,1.87,12.0,3.0,8278052864.0,238723072.0,5279203328.0,5022851072.0,29655040.0,1668759552.0,224129024.0,309055488.0,4818276352.0,10096640.0,310652928.0,271069184.0,33157120.0,16547840.0,193073152.0,7588229120.0,134520832.0,11051008.0,36.226508639991216,60.67672138026104,0.3582369004789192,23.89227361184438,2147479552.0,991920128.0,95588352.0,53.81003152853303,5591.50909090909,48.07272727272727,693.6181818181817,25241.52727272727,3.0,972298277888.0,547061208064.0,11233483.0,13853909.0,45043.268,107030.996,6306.400000000001,152074.265,10.0,9741728.0,6355821.0,77.57818181818286,690138.7636363636,25873761.745454542,54.2,48.90909090909091,103.1090909090909,83826114560.0,2412236800.0,6052274176.0,0.0,97.12233256585765,5210112.0,4491355.0,13.795423207792846,10816.0,9.223372036854776e+18,1.1726730697603216e-13,340504802.0,262812878.0,806684.0,679457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,125000000.0,19.63636363636364,0.0,0.3272727272727272,0.0,0.0,0.0,0.0,0.0,15.0,0.3636363636363636,0.0727272727272727,0.0,0.0,0.0,0.0,0.0,0.3454545454545454,7.054545454545454,7.054545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962.0,479232.0,3145728.0,334.0,131.0,0.0,1.0,1758554346.7757137,1758334172.0,220174.77571368212,1.0,-0.006356486,0.302,0.0,0.999999844329834,7.0,8193.0,28800.0,256.0,256.0,0.0,174058.0,0.0,43.0,0.4,0.0,0.0,3.0,0.0320457090909092,0.0627927454545484,0.0532161818181831,0.292008036363644,0.2374584363636379,0.5209323956908933,0.0644720782363637,0,0,0,0.0,0.0,15,0,0.0,0,0,0,0,0
2025-09-22 23:19:25,208365.17,6642.45,1624.5,2026.19,0.0,367.16,22.5,0.0,83.92499999999762,57.05681818181812,3.718181818181899,16.565909090909166,1623.3454545454545,5791.545454545454,0.4727272727272726,8.15,4.58,1.96,9.0,2.0,8278052864.0,211107840.0,5312413696.0,5080580096.0,29954048.0,1669677056.0,224677888.0,309055488.0,4875759616.0,10096640.0,313446400.0,271052800.0,33157120.0,16547840.0,193114112.0,7588253696.0,757760.0,16846848.0,35.82532289564272,61.374095810558,0.361848957624632,23.903357184455885,2147479552.0,992444416.0,95580160.0,53.78561741946682,5270.745454545454,29.836363636363632,409.2363636363636,36083.2,3.0,972299052032.0,548034974720.0,11233631.0,13855047.0,45045.458,107217.098,6318.341,152262.556,14.0,9741733.0,6356089.0,74.09636363636474,417121.7454545454,36892001.74545454,34.90909090909091,60.45454545454545,95.36363636363636,83826114560.0,1573330944.0,5213368320.0,0.0,98.12310167033466,5210112.0,4491355.0,13.795423207792846,10816.0,9.223372036854776e+18,1.1726730697603216e-13,340505318.0,262812878.0,806691.0,679457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,125000000.0,29.018181818181816,0.0,0.4545454545454545,0.0,0.0,0.0,0.0,0.0,15.0,0.3636363636363636,0.0727272727272727,0.0,0.0,0.0,0.0,0.0,0.3454545454545454,7.054545454545454,7.054545454545454,0.0,0.109090909090909,0.0,0.0,0.0,0.0,0.0,0.0,962.0,479232.0,3145728.0,334.0,131.0,0.0,1.0,1758554361.7700238,1758334172.0,220189.7700238228,1.0,-0.006172786,0.3095,0.0,0.999999844329834,7.0,8193.0,28800.0,256.0,256.0,0.0,174058.0,0.0,43.0,0.4,0.0,0.0,3.0,0.0336622181818173,0.0484223454545454,0.0411005090909094,0.2412467454545466,0.1906006727272721,0.6471862740727374,0.0490081747999986,0,0,0,0.0,0.0,15,0,0.0,0,0,0,0,0
2025-09-22 23:19:40,208375.47,6646.13,1624.98,2026.23,0.0,367.18,22.5,0.0,83.73535081970275,59.99529572561725,4.002665255184048,7.974757861533152,1638.2988848703735,6025.370516054051,1.1852780779158414,7.5,4.61,2.01,13.0,0.0,8278052864.0,5321183232.0,5533900800.0,340176896.0,30138368.0,1456730112.0,225689600.0,309035008.0,134516736.0,10096640.0,156913664.0,259448832.0,32288768.0,16334848.0,186798080.0,7327834112.0,81920.0,0.0,33.149728675132074,4.10938298641916,0.3640755681939071,21.33068185248062,2147479552.0,992444416.0,95571968.0,53.78561741946682,5745.682517541402,24.119468188700136,322.9600553254497,31839.57940285865,3.0,972300043264.0,548260295680.0,11233715.0,13855546.0,45046.336,107270.055,6321.724,152316.391,0.0,9741733.0,6356938.0,62.42652683067467,321964.5722515024,32706838.116012298,27.99513936410749,45.60498509314285,73.60012445725033,83826114560.0,22335131648.0,25975169024.0,0.0,73.35540151749103,5210112.0,4491356.0,13.79540401434748,10784.0,9.223372036854776e+18,1.169203622808368e-13,340506339.0,262813027.0,806700.0,679459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,125000000.0,44.72073001914214,2.803276723959688,0.5644181323408769,0.0376278754893917,0.0,0.0,0.0,0.0,15.0,0.3762787548939179,0.0752557509787835,0.0,0.0,0.0,0.0,0.0,0.3010230039151343,6.528436397409475,6.528436397409475,0.0,0.169325439702263,0.0188139377446958,0.0,0.0,0.0,0.0,0.0,960.0,479232.0,3145728.0,334.0,131.0,0.0,1.0,1758554376.7740536,1758334172.0,220204.7740535736,1.0,-0.005994394,0.317,0.0,0.999999844329834,7.0,8193.0,28800.0,256.0,256.0,0.0,174068.0,0.0,43.0,0.1881393774469589,0.0,0.0,3.0,0.0315980648840269,0.0159529022318624,0.0099062719661557,0.138137349335633,0.0892044044226989,0.5797129065306244,0.056281039782671,0,0,0,0.0,0.0,15,0,0.0,0,0,0,0,0
